epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.4132,1.87423,0.36667,0.90833,1.71669,0.00026361,0.00026361,0.00026361
2,61.7059,1.46944,0.75,0.98333,1.09158,0.000509763,0.000509763,0.000509763
3,85.7889,0.96937,0.81667,1,0.68969,0.000728918,0.000728918,0.000728918
4,109.585,0.63694,0.86667,1,0.48466,0.000774013,0.000774013,0.000774013
5,135.324,0.47914,0.9,1,0.41151,0.000729018,0.000729018,0.000729018
6,160.946,0.32083,0.88333,1,0.41107,0.000684022,0.000684022,0.000684022
7,185.918,0.31518,0.925,1,0.35453,0.000639027,0.000639027,0.000639027
8,210.193,0.2174,0.93333,1,0.31176,0.000594031,0.000594031,0.000594031
9,234.332,0.25719,0.94167,1,0.32404,0.000549036,0.000549036,0.000549036
10,265.308,0.16452,0.95,1,0.31451,0.00050404,0.00050404,0.00050404
11,292.653,0.19222,0.94167,1,0.28657,0.000459045,0.000459045,0.000459045
12,318.799,0.1713,0.94167,1,0.30778,0.000414049,0.000414049,0.000414049
13,346.095,0.1443,0.93333,1,0.37335,0.000369054,0.000369054,0.000369054
14,373.944,0.13741,0.93333,1,0.33557,0.000324058,0.000324058,0.000324058
15,397.887,0.12495,0.93333,1,0.35142,0.000279063,0.000279063,0.000279063
16,421.122,0.11645,0.94167,1,0.3535,0.000234068,0.000234068,0.000234068
17,444.455,0.12004,0.94167,1,0.30882,0.000189072,0.000189072,0.000189072
18,467.636,0.11141,0.93333,1,0.35539,0.000144077,0.000144077,0.000144077
19,493.345,0.11119,0.95,1,0.309,9.9081e-05,9.9081e-05,9.9081e-05
20,519.621,0.13271,0.94167,1,0.30546,5.40855e-05,5.40855e-05,5.40855e-05
